RODAMIENTOS , POLEAS Y CORREAS;BRAMMER;FALSE;FALSE;FALSE;MANTENIMIENTO;0
VALVULAS Y RACORERIA;GRM;GRM;GRM;GRM;MANTENIMIENTO;1
RACORERIA , LAMINADORES Y VALVULAS;GREGAL;GREGAL;GREGAL;GREGAL;MANTENIMIENTO;2
ABB LOGISTICS;ABB LOGISTICS;ABB LOGISTICS;ABB LOGISTICS;ABB LOGISTICS;MANTENIMIENTO;3
TALLERES SOLER;TALLERES SOLER;FALSE;FALSE;TALLERES SOLER;MANTENIMIENTO;4
TRANSMISIONES DEL VALLES;TRANSMISIONES DEL VALLES;FALSE;FALSE;TRANSMISIONES DEL VALLES;MANTENIMIENTO;5
LATTY IBERICA;LATTY IBERICA;FALSE;FALSE;LATTY IBERICA;MANTENIMIENTO;6
RECA;RECA;FALSE;FALSE;RECA;MANTENIMIENTO;7
PEPPERL + FUCHS;PEPPERL + FUCHS;FALSE;FALSE;PEPPERL + FUCHS;MANTENIMIENTO;8
EMICA BOMBAS;EMICA BOMBAS;FALSE;FALSE;EMICA BOMBAS;MANTENIMIENTO;9
SERVIBOMBAS;SERVIBOMBAS;FALSE;FALSE;SERVIBOMBAS;MANTENIMIENTO;10
FERRETERIA;GMG;FALSE;FALSE;GMG;MANTENIMIENTO;11
GARCIA ESCALERA;GARCIA ESCALERA;FALSE;FALSE;GARCIA ESCALERA;MANTENIMIENTO;12
ROSAL INDRUSTRIAL;ROSAL INDUSTRIAL;FALSE;FALSE;ROSAL INDUSTRIAL;MANTENIMIENTO;13
MECANIZADOS RUIZ;MECANIZADOS RUIZ;FALSE;FALSE;MECANIZADOS RUIZ;MANTENIMIENTO;14
SEW EURODRIVE;SEW EURODRIVE;FALSE;FALSE;SEW EURODRIVE;MANTENIMIENTO;15
KLUBER LUBRICATION;KLUBER LUBRICATION;FALSE;FALSE;KLUBER LUBRICATION;MANTENIMIENTO;16
CIDEPA;CIDEPA;FALSE;FALSE;CIDEPA;MANTENIMIENTO;17
BRUGAROLAS;BRUGAROLAS;FALSE;FALSE;BRUGAROLAS;MANTENIMIENTO;18
KSB;KSB;FALSE;FALSE;KSB;MANTENIMIENTO;19
RODAMIENTOS SKF;DEXIS IBERICA;FALSE;FALSE;DEXIS IBERICA;MANTENIMIENTO;20
ALFA LAVAL;ALFA LAVAL;FALSE;FALSE;ALFA LAVAL;MANTENIMIENTO;21
ROTEX EUROPE;ROTEX EUROPE;FALSE;FALSE;ROTEX EUROPE;MANTENIMIENTO;22
BOMBAS TRIEF;BOMBAS TRIEF;FALSE;FALSE;BOMBAS TRIEF;MANTENIMIENTO;23
AESSEAL;AESSEAL;FALSE;FALSE;AESSEAL;MANTENIMIENTO;24
PRES PNEUMATIC;PRES PNEUMATIC;FALSE;FALSE;PRES PNEUMATIC;MANTENIMIENTO;25
MASANES;MASANES;FALSE;FALSE;MASANES;MANTENIMIENTO;26
BHULER;BHULER;FALSE;FALSE;BHULER;MANTENIMIENTO;27
VEGA;VEGA;FALSE;FALSE;VEGA;MANTENIMIENTO;28
SIT;SIT;FALSE;FALSE;SIT;MANTENIMIENTO;29
