LABORATORIO;1;0
TANQUE RECOGIDA TA-1102;2;1
LAB OPERARIOS;3;2
1351;4;3
CERCADO(ALMACEN) SACAS(TIERRAS Y CARBON ACTIVO);5;4
TA 1102 Y TANQUES LECITINA;6;5
TA 5030;7;6
CARGA ACEITES;8;7
DP 2213;9;8
CALDERIN ACIDO CITRICO;10;9
ACCESO ZONA DE TRATAMIENTO DE AGUAS;11;10
COPIA PUERTA CONTROL DE ACCESOS;11;11
ACCESO POR MICRONIADO;12;12
COPIA POLIPASTO PREPARACION;12;13
ACCESO FRENTE TORRE MAQUINARIA;13;14
COPIA COMEDOR;13;15
SALA ELECTRICA;14;16
COPIA EXPEDICION Y CASETA CHOFERS;14;17
COPIA DESPACHO MARIA ARAUJO;15;18
CASETA MAQUINARIA ASCENSOR PISO 7;16;19
COPIA CROMA;16;20
COPIA VESTUARIO CHICAS;17;21
COPIA DESPACHO ALBA PERIS;18;22
COPIA DESPACHO MARIA ARAUJO;19;23
CASETA MAQUINARIA ASCENSOR PISO 4;20;24
COPIA CUARTO DE LA GRASA;20;25
COPIA PLATAFORMA ELEVADORA;21;26
COPIA DESPACHOEN ALMACEN CPQ 1ï¿½ PLANTA;22;27
COPIA ALMACEN (CUBETO QUIMICO);23;28
COPIA ERGRANSA;24;29
COPIA VESTUARIO CONTROL;25;30
COPIAS LLAVES CUARTO DE AGUAS;26;31
TORO TENEDOR;79;32
TORO CUCHARA;80;33
PLATAFORMA ELEVADORA;81;34
POLIPASTO PREPARACION;82;35
POLIPASTO CENTRIFUGAS;83;36
PLATAFORMA ELEVADORA GRANDE;84;37
COCINA;85;38
BOTIQUIN;86;39
VESTUARIO JEFES;87;40
VESTUARIO CHICAS;88;41
OFICINA MANTENIMIENTO;89;42
DEP. TECNICO;90;43
LIMPIEZA EULEN;91;44
EPIS Y AGUAS;93;45
DESINFECTANTE;94;46
LABORATORIO MICRO;95;47
LABORATORIO CROMATOGRAFIA;96;48
DESPACHO ALBA PERIS;97;49
DESOPACHO RAMON ARNALOT;98;50
DESPACHO MARIA ARAUJO;99;51
ALMACEN DE LABORATORIO;100;52
ALMACEN DE REPUESTOS;101;53
ALMACEN QUIMICOS;102;54
CASETA RESIDUOS;103;55
SALAS ELECTRICAS;104;56
ACCESO PRINCIPAL;105;57
PEATONAL DERECHA;106;58
PEATONAL IZQUIERDA;107;59
CONTROL DE ACCESO;108;60
PUERTA LADO MONTAÑA;109;61
PUERTA LADO MAR;110;62
EXPEDICIONES;111;63
TORNO BUNGE;112;64
DESPACHO EN ALMACEN CPQ1ï¿½ PLANTA (SILOPA TECNICS);113;65
ARMARIO SIRENAS EMERGENCIAS;114;66
ARMARIO INTERVENCION BOMBEROS;115;67
TORRE 3(ROVIRA);116;68
PUERTA TORRE CINTA TB-104;117;69
BARRERAS;119;70
SALA DEL GAS (CONGENERACION);120;71
PENDRIVE USB 2ï¿½ PLANTA;121;72
CITIZENSHIP ROOM 2ï¿½ PLANTA;122;73
TEAMWORK 2ï¿½ PLANTA;123;74
INTIGRITY ROOM;124;75
CUARTO DE LA GRASA;125;76
ACCESO TORRE Nï¿½1 ERGRANSA;126;77
AZOTEA;127;78
ARMARIO BOTIQUIN;128;79
SALA NEVERA 2ï¿½ PLANTA;129;80
SALA REUNION COMITE;130;81
CARGA DE ACEITE;131;82
VENDING DEP. TECNICO;132;83
COMEDOR;133;84
PUERTA LABORATORIO LADO MAR;134;85
DESPACHO FRANCO AVARO;135;86
DESPACHO DANIEL NAVARRO;136;87
ACCESO ALMACEN LADO TARRAGONA (PALISTA);137;88
CONTROL DE PRODUCCION;138;89
TEAMWORK DESPACHO 1, 2ï¿½ PLANTA;139;90
TEAMWORK DESPACHO 2, 2ï¿½ PLANTA;140;91
CASETA DEPOSITO GASOLEO (EULEN);141;92
DESPACHO JEFE DE TURNO;142;93
CARRETILLA CRACKERS;143;94
SALIDA SP340;144;95
BARREDORA;145;96
POLIPASTO CONGENERACION;146;97
TALLER ELECTRICO;148;98
CASETA O.E.S.A;149;99
OFICINA TECNICA LADO MONTAï¿½A;151;100
PASILLO ARCHIVO;152;101
TEAMWORK DESPACHO 1, COPIA 2ï¿½ PLANTA;153;102
TEAMWORK DESPACHO 2, COPIA 2 PLANTA;154;103
CUARTO DE LA GRASA 2;30;104
CUARTO DE LA GRASA 3;31;105
RTA-140;32;106
2-ALFA LAVAL;33;107
3-RSA-60;34;108
SALA COMPRESORES;35;109
CUARTO MATERIAL MANTENIMIENTO Y OFICINA;36;110
COPIA TORO TENEDOR;37;111
POLIPASTO TV DECOLORACION;38;112
COPIA POLIPASTOS TV DECOLORACION;39;113
TA 1101;40;114
ARMARIOS STECO;42;115
ARMARIOS STENCO COPIA;43;116
CANDADO PUERTA MAR;52;117
FILTRO CARBON MANUAL;45;118
MATERIAS AUXILIARES;44;119
PUERTA DELANTERA TOLVAS(TIERRAS Y CARBON ACTIVO);47;120
PUERTA TRASERA TOLVAS(TIERRAS Y CARBON ACTIVO);46;121
CARRILERA CRACKER;48;122
ARMARIOS EPIS-EPC;41;123
TORO TENEDOR MANTENIMIENTO;79/B;124
OFICINA RRHH (RECURSOS HUMANOS);147;125
SALA DE BOMBA MANTENIMIENTO;49;126
COPIA ERGRANSA;50;127
ALMACEN SEGURIDAD;51;128
TOTEM CARGA COCHE ELECTRICO;118;129
