PRODUCTO;PROVEEDOR;PRESENTACION;ALMACENAJE;NOMBRE COMERCIAL;DEPARTAMENTO
RODAMIENTOS , POLEAS Y CORREAS;BRAMMER;FALSE;FALSE;FALSE;MANTENIMIENTO
VALVULAS Y RACORERIA;GRM;GRM;GRM;GRM;MANTENIMIENTO
RACORERIA , LAMINADORES Y VALVULAS;GREGAL;GREGAL;GREGAL;GREGAL;MANTENIMIENTO
ABB LOGISTICS;ABB LOGISTICS;ABB LOGISTICS;ABB LOGISTICS;ABB LOGISTICS;MANTENIMIENTO
TALLERES SOLER;TALLERES SOLER;FALSE;FALSE;TALLERES SOLER;MANTENIMIENTO
TRANSMISIONES DEL VALLES;TRANSMISIONES DEL VALLES;FALSE;FALSE;TRANSMISIONES DEL VALLES;MANTENIMIENTO
LATTY IBERICA;LATTY IBERICA;FALSE;FALSE;LATTY IBERICA;MANTENIMIENTO
RECA;RECA;FALSE;FALSE;RECA;MANTENIMIENTO
PEPPERL + FUCHS;PEPPERL + FUCHS;FALSE;FALSE;PEPPERL + FUCHS;MANTENIMIENTO
EMICA BOMBAS;EMICA BOMBAS;FALSE;FALSE;EMICA BOMBAS;MANTENIMIENTO
SERVIBOMBAS;SERVIBOMBAS;FALSE;FALSE;SERVIBOMBAS;MANTENIMIENTO
FERRETERIA;GMG;FALSE;FALSE;GMG;MANTENIMIENTO
GARCIA ESCALERA;GARCIA ESCALERA;FALSE;FALSE;GARCIA ESCALERA;MANTENIMIENTO
ROSAL INDRUSTRIAL;ROSAL INDUSTRIAL;FALSE;FALSE;ROSAL INDUSTRIAL;MANTENIMIENTO
MECANIZADOS RUIZ;MECANIZADOS RUIZ;FALSE;FALSE;MECANIZADOS RUIZ;MANTENIMIENTO
SEW EURODRIVE;SEW EURODRIVE;FALSE;FALSE;SEW EURODRIVE;MANTENIMIENTO
KLUBER LUBRICATION;KLUBER LUBRICATION;FALSE;FALSE;KLUBER LUBRICATION;MANTENIMIENTO
CIDEPA;CIDEPA;FALSE;FALSE;CIDEPA;MANTENIMIENTO
BRUGAROLAS;BRUGAROLAS;FALSE;FALSE;BRUGAROLAS;MANTENIMIENTO
KSB;KSB;FALSE;FALSE;KSB;MANTENIMIENTO
RODAMIENTOS SKF;DEXIS IBERICA;FALSE;FALSE;DEXIS IBERICA;MANTENIMIENTO
ALFA LAVAL;ALFA LAVAL;FALSE;FALSE;ALFA LAVAL;MANTENIMIENTO
ROTEX EUROPE;ROTEX EUROPE;FALSE;FALSE;ROTEX EUROPE;MANTENIMIENTO
BOMBAS TRIEF;BOMBAS TRIEF;FALSE;FALSE;BOMBAS TRIEF;MANTENIMIENTO
AESSEAL;AESSEAL;FALSE;FALSE;AESSEAL;MANTENIMIENTO
PRES PNEUMATIC;PRES PNEUMATIC;FALSE;FALSE;PRES PNEUMATIC;MANTENIMIENTO
MASANES;MASANES;FALSE;FALSE;MASANES;MANTENIMIENTO
BHULER;BHULER;FALSE;FALSE;BHULER;MANTENIMIENTO
VEGA;VEGA;FALSE;FALSE;VEGA;MANTENIMIENTO
SIT;SIT;FALSE;FALSE;SIT;MANTENIMIENTO
